source_species,target_species,model,mean_macro_f1,n_dataset_pairs,core_gower_distance,extended_gower_distance,same_species,excluded_from_primary_h3
Equus caballus,Procyon lotor,HYDRA,0.5154322842579526,2,0.6280460788657509,0.6117868986721445,FALSE,no
Equus caballus,Vulpes vulpes,HYDRA,0.531396799547863,2,0.3425216785872523,0.30887743182825145,FALSE,no
Equus ferus przewalskii,Bison bonasus,HYDRA,0.9138688142192478,1,0.2694157858092284,0.17144640915132717,FALSE,no
Equus ferus przewalskii,Bos taurus,HYDRA,0.5445335878546137,1,0.28182163428065066,0.1793410399967777,FALSE,no
Equus ferus przewalskii,Canis lupus familiaris,HYDRA,0.4845867767336627,2,0.3151992742156676,0.2914904472281521,FALSE,no
Equus ferus przewalskii,Equus caballus,HYDRA,0.45421526339146673,1,0.0071101546511382575,0.004524643868906164,FALSE,no
Equus ferus przewalskii,Erinaceus europaeus,HYDRA,0.43509401579424595,1,0.7419878895288731,0.8358104751547374,FALSE,no
Equus ferus przewalskii,Giraffa camelopardalis,HYDRA,0.2352449489233336,1,0.4722978247568412,0.39146225211798985,FALSE,no
Equus ferus przewalskii,Procyon lotor,HYDRA,0.5356945921238863,2,0.6351562335168891,0.6163115425410507,FALSE,no
Equus ferus przewalskii,Vulpes vulpes,HYDRA,0.6236555085978799,2,0.34963183323839064,0.31340207569715767,FALSE,no
Erinaceus europaeus,Bison bonasus,HYDRA,0.4870461643501271,1,0.7733084372428635,0.8557417327909131,FALSE,no
Erinaceus europaeus,Bos taurus,HYDRA,0.5553778838606918,1,0.7857142857142857,0.8636363636363636,FALSE,no
Erinaceus europaeus,Canis lupus familiaris,HYDRA,0.46498722253811964,2,0.7125029010274913,0.817047300653858,FALSE,no
Erinaceus europaeus,Equus caballus,HYDRA,0.5175008245978049,1,0.7348777348777348,0.8312858312858311,FALSE,no
Erinaceus europaeus,Equus ferus przewalskii,HYDRA,0.36610906189940984,1,0.7419878895288731,0.8358104751547374,FALSE,no
Erinaceus europaeus,Giraffa camelopardalis,HYDRA,0.2364262321948603,1,0.9285714285714286,0.9545454545454546,FALSE,no
Erinaceus europaeus,Procyon lotor,HYDRA,0.5809190141556204,2,0.6782602274405554,0.6740443871591414,FALSE,no
Erinaceus europaeus,Vulpes vulpes,HYDRA,0.4269186650079433,2,0.6780703420047682,0.7951356721848526,FALSE,no
Giraffa camelopardalis,Bison bonasus,HYDRA,0.31955583307510765,1,0.4409772770428509,0.37153099448181415,FALSE,no
Giraffa camelopardalis,Bos taurus,HYDRA,0.114435402936046,1,0.42857142857142855,0.36363636363636365,FALSE,no
Giraffa camelopardalis,Canis lupus familiaris,HYDRA,0.2287425630182364,2,0.644639956115366,0.5920436084370511,FALSE,no
Giraffa camelopardalis,Equus caballus,HYDRA,0.4470474995044042,1,0.4794079794079794,0.39598689598689596,FALSE,no
Giraffa camelopardalis,Equus ferus przewalskii,HYDRA,0.5075213027331308,1,0.4722978247568412,0.39146225211798985,FALSE,no
Giraffa camelopardalis,Erinaceus europaeus,HYDRA,0.4722312904131085,1,0.9285714285714286,0.9545454545454546,FALSE,no
Giraffa camelopardalis,Procyon lotor,HYDRA,0.5953739062766408,2,0.8217397725594446,0.7350465219317678,FALSE,no
Giraffa camelopardalis,Vulpes vulpes,HYDRA,0.6308498047313552,2,0.679072515138089,0.6139552369060566,FALSE,no
Procyon lotor,Bison bonasus,HYDRA,0.5498184797433676,2,0.6664767812308795,0.6362428001772263,FALSE,no
Procyon lotor,Bos taurus,HYDRA,0.4021276317958958,2,0.6788826297023017,0.6441374310226768,FALSE,no
Procyon lotor,Canis lupus familiaris,HYDRA,0.45708000279951966,4,0.5580521973964597,0.567245337737141,FALSE,no
Procyon lotor,Equus caballus,HYDRA,0.5583436135313283,2,0.6280460788657509,0.6117868986721445,FALSE,no
Procyon lotor,Equus ferus przewalskii,HYDRA,0.5242079778801274,2,0.6351562335168891,0.6163115425410507,FALSE,no
Procyon lotor,Erinaceus europaeus,HYDRA,0.4231923424875604,2,0.6782602274405554,0.6740443871591414,FALSE,no
Procyon lotor,Giraffa camelopardalis,HYDRA,0.37455256628734235,2,0.8217397725594446,0.7350465219317678,FALSE,no
